,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
4890,120155735.32214257,2091624883.907012,45134961853.36209,214650036442.63077,404373242013.5513,565218306063.5406,729343608273.1002,883093217710.9937,968129042788.6555,1169393359171.8699,933685609920.1234,490736782940.3771,282758229438.45984,60810577117.48079,25538316395.627975,361533772447.7545,689662306804.0392,534123330104.15125,287310399232.924,116010526541.79564,0.0
10878,8611688575.993721,7617068378.633606,8965525877.665277,11108041687.988438,10609345157.537216,10494003683.045317,10432146834.32654,10439717179.123333,9820875058.794937,9410105160.835405,7283639343.879364,12227243422.800655,6969604071.698053,150396021537.1854,171098408943.28336,1289311295338.7031,1109273995524.2598,566303717801.1292,252036161620.21094,89945774848.81589,0.0
14504,24864906.89806577,49539741.7369601,257475233.44394702,875030908.1940416,1414680748.5073628,1778699388.1171443,2035224690.5685096,2225499708.891406,2358141563.257066,2581637173.687431,1903896696.7398338,966587121.3984402,516691148.4222698,146058137.95554945,78997982.97879702,1772118439.6542664,3353509888.027555,2594965669.744478,1395461414.6483092,563470775.1139364,0.0
12596,9842748507.259762,7051312313.441207,5674654954.592831,7645180624.987361,8169048700.23589,8881208968.138815,9432577201.59895,10203187354.527092,10543271039.694763,10875781076.953062,8874992183.07683,17697898557.55808,10107754372.447704,230368326559.77832,263440171359.32425,1669357462781.9497,1359883994334.4338,684987344119.6891,305249530843.3904,109384746213.9834,0.0
10030,14450376054.319242,10387164145.580015,10709243886.069458,20142112107.06751,25541815187.700306,30521687799.880127,36068197163.57364,41726455483.83994,45155331622.58097,51485150713.33289,42575711246.97401,46447129946.416046,26654495034.215916,413408018488.11426,452019531237.872,3929987372434.319,3885233209017.939,2188953593815.792,1025509595007.4329,379530508137.4479,0.0
14717,6918646974.983699,6091779041.894799,5858222476.633882,8160139838.316359,8286590080.312256,8271176199.498574,8316705648.093862,8140263509.71651,7468053886.082324,6574397292.759352,4657833952.683628,3140033482.019862,1742990741.8643627,14149385816.675459,14353465265.751661,229973341090.67303,225230400815.01227,124042249927.73065,57478286064.80674,21120196690.523167,0.0
13843,455711733.02173746,584754865.5937918,1492883059.5521786,4222727920.4841666,6160033111.999626,7608904718.703241,8777436802.996578,9658262916.098751,10136022350.059645,11239051511.035551,8528326746.410853,4638484352.167619,2474323972.5120945,3900202233.5963063,3148720328.73629,90524914559.02155,158198369639.26324,117460183842.25687,61933180006.34883,24685696667.507107,0.0
1602,642001554.3953824,1488620166.2278888,12251240256.867853,50218087805.84459,89412219979.23846,120981291230.6636,151031637884.32175,176590801292.78494,194691795246.13348,231042894569.40207,184267183500.32657,102807981286.66058,58101765259.92547,71668947606.92784,56986564426.8639,2977524729284.415,4623799069360.804,3176482884752.206,1614218862918.8015,627522109062.8103,0.0
9929,418492146.2313345,703991904.5575458,2759258517.277471,8746864573.400608,12606546296.753414,15512380045.860622,17947789517.778755,19861979088.31452,20939737010.923187,23132125409.53878,17856388348.74984,10202295643.751425,5477537846.557563,12106101975.118996,9818552869.41628,324143901934.2701,554698867533.9152,404769197024.91614,211557741951.42838,83799821207.91855,0.0
5447,1169161028.6895363,1510004420.1521852,3298309561.660442,8956263846.739569,11974088696.903275,14294206229.137178,16171757186.790676,17594359862.28262,18160149129.503952,19778712590.05876,14979960862.811865,8358919517.604459,4447614101.872955,10190576137.237598,8573271773.2022705,228442239610.78918,383348711990.92365,280533409108.576,147129624105.68173,58467489166.58564,0.0
12791,127398701.97221366,208244633.7344901,627608775.1550599,1827996007.5917919,2490646557.4691334,2946884826.2194996,3261036090.836688,3508285093.831183,3614906275.7534237,3817906800.837542,2846539644.3264356,1506030714.9574897,789051637.3481565,646037360.8947802,476154500.4625487,13403932837.64768,25088021627.839622,19315381048.013138,10360031334.13316,4175944224.2174597,0.0
5279,24929257377.07336,33132897370.94566,92279546163.50354,273311054266.78668,414998670146.1218,533263790236.5265,651620121144.2064,742952150801.1168,818573746918.678,949645627160.8074,769061955429.1082,543522662498.4856,311188793783.6376,2189446754016.8633,2239171462340.472,44603851522853.555,59474391127803.66,39120027049586.98,19630297668506.473,7585902002283.321,0.0
12625,111255461.95134826,196087147.4746972,623941613.4204354,1853615196.1971135,2505636576.317517,2960268274.1438355,3261860703.690549,3490955967.8959002,3590335258.9269094,3772207754.556556,2788493217.2141047,1447771951.711124,761343696.1467663,415965922.2259335,284067676.93263835,8192606979.1798315,15537100627.088448,12028529969.25977,6469680600.115606,2612640203.819636,0.0
12079,36200701.088289015,134730665.47425142,1049063194.0609914,3954289758.1232595,6602547150.967489,8559240628.048719,10188587522.458685,11458579292.477592,12190049177.123562,13809064876.258041,10499603412.195698,5418122979.454173,2927808791.5601134,730336329.724066,358117237.4100727,8947090925.616997,17256526567.257523,13412830799.58717,7226634580.756018,2920803693.0100346,0.0
8460,24028449250.865204,23222643915.195583,31355771004.489616,56603871942.76431,65626832869.52234,72882289661.28113,78870550500.68724,84151205489.25684,85812005665.42761,89840416972.82674,68969940538.0269,53621576578.06922,29703301971.205822,299490158884.2453,316770161946.71716,4558635034189.843,5004807087189.578,2955238624511.8843,1412221646892.7004,529062911294.74475,0.0
10105,2235906724.620601,3166694224.331278,8866523093.040102,25455644452.20807,34697336530.34439,42728979698.74878,50560124031.67546,56650669955.64376,60035692738.70688,67828529259.6212,53769897289.81711,33342506020.148933,18386809024.451046,72505786932.48164,67638139070.62244,2296781497805.476,2369522288293.2793,1276868998023.7678,577566377379.6627,207679142154.878,0.0
7860,3703110567.1914954,5247692171.323663,18178963805.92224,55350641625.45053,84456562772.94551,108802667766.04372,132886160596.52931,155140283892.84,170845795094.9315,198927064446.93585,161372944554.31442,119370955418.76707,68256217911.77935,549468845672.916,591430101958.6616,11677020463440.514,11756680394354.041,6446820277731.108,2961245482070.4727,1077889589637.0157,0.0
11934,993727019.8045695,1152752824.5063944,1888818700.7191455,4292772415.4685493,5277091133.303792,6023373767.145967,6558983347.097033,6957788676.190966,7021786705.045423,7341482001.607839,5434153832.828981,2980257815.8869514,1575523715.5050879,3747276386.4460125,3109347338.6729093,79864545465.34813,135927332956.51175,100082821164.33554,52612441163.666985,20939482262.401802,0.0
8450,31216015095.7441,28924291969.22489,43592627894.55169,77768373343.37532,88281042228.06453,102859524312.72763,117007433784.78622,128873481371.36218,132651902669.49269,148039250430.16556,121757094509.331,152057755082.60504,87457820939.27475,1606621036872.7505,1857421948035.5535,17448146627010.637,17050754620562.738,9331188030801.656,4283029976889.5703,1558501167668.425,0.0
