,mass,dustmass,logmet,sfr100
512,2313338845.1166706,6998519.780688869,-0.10199965845593444,0.1310076563855138
4928,67902521.02420901,79605.48235306032,-0.3267386102053286,6.790252102420903e-06
1055,134336846.4361612,1022433.791362468,-0.41560086700858967,0.06721245258388091
3013,132559380.6471507,811619.6423412234,-0.06999382422601583,1.3255938064715045e-05
559,6498556645.575702,18751079.20574031,-0.0078054922963399645,0.07132778939890194
2492,441361845.87563694,1017612.029897765,-0.2661190021986093,0.025720411760223022
119,577919863.1886241,2114416.5823719297,-0.13096375875028154,0.12865227803205115
3128,287955517.9588111,704059.7712337393,-0.36732154971121267,0.03714889597545449
300,11672664212.084404,18311114.256016545,0.04695782028968573,0.16513299590750846
3379,133150009.39324914,516904.808306296,-0.30678500105308104,0.026707203217116025
4755,130543550.85420945,80551.48202184316,-0.3762573266964153,1.3054355085420954e-05
2651,645007481.0258036,1094560.5597447155,-0.10040445166176783,0.033893599041582095
5078,60955660.24212958,316628.6642382983,-0.4704248824046833,6.09556602421296e-06
3524,168107412.31664932,753768.4589836469,-0.34446277080736676,1.6810741231664955e-05
2755,397890210.51110226,1036509.6660416425,-0.20078141955375875,3.978902105111015e-05
4013,64257165.90744951,647202.0599093898,-0.3400453692158592,6.4257165907449566e-06
676,27449953424.351116,134172483.22849895,-0.08510720652925631,1.1001544968903758
312,11896493484.576391,26971756.544473536,0.1381942549017186,0.42530620108218
1432,8627623798.416039,39008417.71462487,-0.05294513163107521,0.48159006542176364
1193,9891643255.98072,67304343.89087419,-0.1009426780287624,1.3350024142410002
5138,54152517.83537798,110047.63592064613,-0.3329326918384654,5.4152517835378004e-06
482,1795882879.1020582,5177165.800796096,-0.1464151839809998,0.00017958828791020566
2445,502109847.0406061,1187882.4231329376,-0.25221945998569256,0.02989237815354135
2617,239318807.4196617,654969.0316900277,-0.2158248874881005,2.3931880741966217e-05
3150,100233048.72484037,868246.0741792042,-0.2856804099601873,0.07366243414852272
4643,106618430.72907446,85129.61389237543,-0.2529116340404285,1.0661843072907435e-05
1520,276000327.5984558,1000163.0185287026,-0.2814127223807049,0.05278588423782777
1327,4515138031.337044,34087089.02849127,-0.13155966166518082,1.1897437631907084
4720,55232507.459380195,252990.62129826393,-0.3959199402140132,5.523250745938016e-06
