,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
4536,72542518.48254123,115055019.15413466,382770299.0523873,1160023828.9638512,1640456828.5056663,1998304340.2192717,2304077958.434851,2569118899.5205913,2687940255.400398,2953954563.0068574,2264973737.7632756,1201772822.0081685,663680540.0366365,394637565.8840485,274544921.1242413,7434918190.358682,13996958960.514503,10817393489.005219,5813906360.834777,2346938656.6130157,0.0
3567,2394228.0449637966,33035805.019793358,315657417.5872691,1168542606.444245,1893036589.550423,2421003974.810019,2882295027.097112,3291040963.602521,3515869925.305408,3969676225.3792443,3065707325.12121,1605621888.6783934,896400930.2251059,188993799.78113145,78356789.67992026,1089201162.4068441,2093500031.824255,1626133342.0664494,875944965.5728194,354006390.3558513,0.0
2446,427514148.67897636,610215360.9924893,1986561985.6418493,6065076685.916491,8728484072.651186,10712319282.157907,12460314666.1677,14000618535.997272,14792934490.058609,16471185025.92936,12721681192.873564,6856184822.054435,3796618092.4015236,3290174876.8934965,2482740260.0682206,63573583951.83545,117810545614.5002,90701565250.58188,48667741144.777145,19629507797.578876,0.0
4477,618097.3261135949,10704229.0962721,115746584.97837634,424198620.57088363,716704148.3499404,919837420.2640927,1071919326.579258,1187634573.8274822,1259536113.861057,1395727344.1367383,1039247239.5555135,527414959.7975383,285629281.2990247,50386936.43761425,17470128.036441144,48291293.39087363,90959513.5285638,70409601.22592553,37891100.07136905,15310491.214458652,0.0
881,7754738645.744077,10230144173.72703,38439460948.92488,142943263982.5032,256875591793.81693,356641491320.22406,460119514510.8351,558706529255.0696,627385656348.5928,767517657752.1412,623408061349.0538,344442057555.1263,200984867896.9069,193679148088.7841,170172181465.7503,6280059278116.889,8269272142981.128,5289948024749.365,2608846080633.445,995148458887.4337,0.0
243,82828845.9164733,1293776814.2426872,22900967586.92546,106188117365.67545,198907123464.36548,275029382103.4892,351175042656.3832,425595588732.82654,466773270193.9333,560315235160.3394,445612183925.65784,232524334386.67105,135243347169.4459,24996329405.784256,8627941073.269087,3731722736.8244524,6097569001.431955,4582456621.770288,2445495812.362195,986036377.9075055,0.0
2447,1494427587.9673355,2011528589.2398863,5070957429.931819,14823335596.416346,20682785691.12593,25332075767.536526,29818574287.154785,34052946255.205154,36109182466.349,40669904472.47769,31970465318.25508,17247239223.14616,9651647205.272882,4378237748.902443,2831731039.128841,86304589458.92648,164578852689.1591,127578554595.12125,68657388561.92551,27733143771.7472,0.0
5276,413006.44804762735,10845202.315338073,138966404.95388636,544574423.7318039,941689408.1137204,1238482258.6554384,1496712274.755595,1715992695.154382,1847125462.3875966,2118274012.836714,1632717964.7430315,850495190.3788135,470442858.0862593,84310383.80940573,28508649.370058063,5206527.416858007,7613564.298880921,5675424.817513586,3044200.696932815,1237143.8402742709,0.0
4833,429395960.83276933,440909207.98246247,637114837.517801,1408668107.4547863,1839758328.3712788,2188905138.7634954,2509207112.689615,2798023783.464905,2918927345.161916,3219643279.8944983,2485226792.889774,1324983003.4069822,730605044.978937,369219304.06193566,252341641.06066614,5251475259.792681,9571411717.121319,7338987752.428067,3930953488.497174,1584091620.717191,0.0
2463,18338420173.874874,18436324666.90541,18985842954.180058,28915442219.74739,30370621011.77639,32449961312.336365,35499643395.19121,37724973682.20615,37531873515.2006,39808551399.63622,30810546841.947224,23119751548.739616,13076430359.344229,118486999788.265,126203133893.61555,1778913033018.4285,1795877402782.5466,1017835937958.3483,478662792830.33636,177551963195.8556,0.0
