,mass,dustmass,logmet,sfr100
12937,83543380.81522301,974453.9888912672,-0.8579356151264275,8.35433808152231e-06
9305,442378234.6769017,6269528.407816488,-0.5653518646495647,0.06554668588119932
5721,582547568.8797932,5586524.55660974,-0.48821752242616534,0.19312705475497138
8692,7223374214.532167,17618654.049080603,-0.055037779861448456,0.17417174879141092
13798,51707953.40215758,733692.6956398434,-0.9443365308914108,5.170795340215757e-06
4591,25567055816.517975,158701656.898792,0.011632317327748757,2.237679798927679
14713,64577725.822314166,636065.3178495611,-0.9308631057655647,6.457772582231423e-06
5537,55690517.00767039,700614.638638217,-0.7702453373841179,5.569051700767039e-06
3180,58774936048.20364,369205939.8263946,-0.10033602523182562,0.1866297133205274
7126,118439630.5589652,1081716.0041239124,-0.7543969468893148,1.1843963055896501e-05
8367,167165752.49393702,3086073.357346315,-0.9817250595355165,0.12237363786539152
9235,417096965.420051,5581110.861215422,-0.4778821606690974,0.010186918244788073
9872,482947623.2224159,6113506.392755318,-0.4851554264340941,0.06162453208402871
1133,107674754.86824998,3838283.4279669253,-0.4134230550589416,0.23301609190860778
5761,20678470371.001503,11060174.2501228,0.02267574686851775,0.0020678470371001466
12077,57352832.72397195,869803.4990356702,-1.1001872130545514,0.016876128735293053
3579,384062641.178123,3279207.19574265,-0.4091392967971995,0.04300914418523269
11327,365457208.3580997,5257365.132229708,-0.649148997550083,0.0967270285692498
8477,2240464437.9561996,24045576.74109476,-0.29599353936695255,0.19775989990837853
14914,69453473.58942294,407217.36771894095,-0.9733598184040291,6.945347358942297e-06
3696,55108383.25638263,453892.8259573381,-0.8977769220304592,5.510838325638268e-06
11149,282902524.4642905,3524727.2720295014,-0.5663892612324362,2.829025244642902e-05
7734,1314759083.953908,14453148.634336952,-0.3494839297667127,0.24863410263133415
4901,19301367290.725594,172427734.33706933,-0.05490438588979788,1.238224367342941
10387,1268482211.5947695,7618377.701452832,-0.3199420205492779,0.04008988585381174
14619,64147576.825709894,430336.9407027139,-0.8689893754684873,6.414757682570989e-06
10602,764728312.0190096,9116393.270096337,-0.3136895264215908,0.08344272178673358
8727,728792660.6348683,8299139.2445432665,-0.3911279679864531,0.1273555605557254
12736,82869133.91314396,1092295.4851151288,-0.781187195442418,8.286913391314398e-06
11121,187515601.7104314,2267965.1464764145,-0.6348365498109675,0.017555562769235734
11460,648793490.4211496,5400569.780538586,-0.40349570397862083,0.30983315089033936
11531,201280921.77004537,2492027.0101532,-0.7941609000441404,0.02321829259043319
6520,4918619779.136597,37914429.036664985,-0.17485503659376433,0.18798472738465433
5880,7000956101.796385,54682591.03686548,-0.1403115188653683,0.9390156088724214
13547,59290727.590522006,881753.6308711185,-0.8863507548801173,0.018974563100280673
13316,104401598.79497603,1193117.4423389905,-0.7089539614190096,1.044015987949758e-05
7147,1027717543.7569661,12903521.651811522,-0.41739650593887945,0.121965154476748
5955,2302981600.4448395,27469278.823693,-0.3533103288167709,0.10182579517846536
7381,3326669972.6716223,33796838.20423508,-0.23377190672415152,0.3094476064199211
6776,2639773657.984214,28578182.147448238,-0.31845767322142476,0.4344630839411121
9853,781110732.352217,7076008.410113181,-0.3522875112316344,0.05173572961160938
4928,19958728303.392715,134533034.78665435,-0.022435926682471352,1.080444678010072
10780,132883945.09911299,1845682.7494904872,-0.8118503910296151,0.03739042831836442
14152,87274804.12082714,1011416.7136557319,-0.7918931091337298,8.727480412082719e-06
9986,300349369.2767452,4051863.056342798,-0.6843921234379385,0.0955439358294923
11212,973853027.8011453,12071965.972962212,-0.35175381608119594,0.1526933035470569
7950,3778666158.0055866,30105807.95179177,-0.1799480025890829,0.27765405680803107
10484,589668810.7041988,6388139.395325894,-0.4996669321038711,0.10022711710591635
8380,1277808458.6896186,14353436.875299323,-0.3130821480649366,0.4087160270847553
13376,65315363.189333536,918834.9942089053,-0.934907102390423,0.04608922081399161
11846,573975888.8574439,5116513.092092406,-0.3882255609266507,0.07109559816829393
9551,143844828.0150017,2231344.0194844287,-0.704495479113947,0.04035770197234234
5018,220615873.1527156,1790539.0941311026,-0.6132551373819993,0.03715093524207577
12594,50967352.86004696,586341.6082700447,-1.0709376621985212,5.096735286004696e-06
13263,109838612.364256,1197381.057636079,-0.8311114862011286,0.01347037909620906
3128,109354427643.89668,75578496.15018564,-0.0007674230706847865,0.01093544276438966
10075,454926970.23621595,5930577.540394964,-0.4919543445921825,0.029931966638785293
11730,348507689.4535552,4002344.3769951127,-0.5874155904239767,3.4850768945355455e-05
4755,21210538758.49039,221228698.89034334,-0.13104518057511438,3.339405821483485
9208,76029593.5319753,1493046.2139725024,-0.8172688669624221,0.01701091566460295
6035,622997480.5676248,6025084.562684437,-0.34941418395288304,0.16966945314870305
10990,149480275.55184323,1331548.0837901996,-0.7795266567800048,0.023750995601350976
11717,128751314.57242998,1351722.1309453773,-0.8607087680178647,0.017601367478112487
10967,305557321.7316521,3605389.5825409414,-0.4761888739483878,0.08168160009693297
13968,74025726.11629441,734545.2872062414,-0.8673095087643509,0.019100903638870778
10240,171955834.66776386,2398621.2528180615,-0.68024827898676,0.03751360880048076
5078,15033716209.654976,133430551.50647265,0.007285475034218044,1.1056184099643345
13082,238508929.5995279,2726814.200623494,-0.5978798926925257,0.032381697876828944
8556,622392814.3871914,9834266.208925722,-0.5916694713183379,0.13574150993232825
8896,1930575212.4280767,19559183.914527338,-0.2831590185776935,0.253479663144385
8983,59696110.08239169,1499028.0704765716,-0.8479860298592314,0.016154794705803194
4013,14672711171.09947,126477112.93730345,-0.14175660245358374,1.0167483566843363
7393,58017996.76266527,485157.22681150574,-0.954298520369827,5.801799676266529e-06
11373,188243608.58386284,2745838.3845477244,-0.7528335572807956,0.07987358189948046
11081,260995389.76266235,3766129.6023522895,-0.5201388087678935,0.042778774690795454
5435,12933589105.785292,92077016.2463877,-0.02810941008161975,1.3987993703309196
13656,159504616.27429083,1465064.5682520634,-0.6948138930085079,1.595046162742909e-05
1432,145834908.4899173,1808538.1541275345,-0.2693003790950846,0.0987952509513671
9869,320881718.76882744,4176893.3767747437,-0.6701431308665152,0.10742097629520587
14773,147395508.91809613,950448.9213369506,-0.6372547419110647,1.4739550891809601e-05
12681,108921498.90565534,1085358.4702413739,-0.8508588715412325,0.04197521394822345
5140,13090882139.869637,111554196.37345979,-0.09723800075799564,0.6900577738071246
9373,619851657.5119512,7244095.080606306,-0.3761792153570983,0.07071011390030656
11750,172870413.30260134,1522655.8125091284,-0.718798270795859,1.728704133026014e-05
8864,957733783.62922,12936081.528377045,-0.47092148059357725,0.22283779339989915
9664,437201862.60625595,5143833.116562449,-0.48725660579363733,0.06700413749704097
6890,7504494988.500366,51529602.34567232,-0.1714194421378879,0.49468606563039125
12240,524332323.15107775,4547612.4450709345,-0.40252802789132225,0.038598701413631725
7963,1242818621.3503084,15332766.500541221,-0.36598352946069324,0.24858624499642695
13539,55262176.90392382,503183.85276631766,-0.9381382653235661,5.526217690392381e-06
10678,831893893.6309841,8351477.6933910865,-0.40950466597549184,0.15887006729574293
7980,1079320107.6144452,12352758.044491462,-0.4287741524718939,0.3167703099781779
8600,1606465257.2795675,11539217.657660902,-0.24163834977522386,0.13393490314383866
7352,857045904.4643116,12834507.911092762,-0.48195417107998284,0.09797205424522601
7005,1841440066.11031,18584992.72969582,-0.29262256665115316,0.6533659419436139
4643,4780902585.867577,40195809.277244344,-0.2222999129460592,0.7943965405170182
10086,263187903.9947411,3357653.0977350315,-0.6469245345840691,0.015814412727069616
13650,151295764.40775663,1316969.2408538598,-0.6702391659330366,1.5129576440775676e-05
8404,529039796.86366594,7884272.429941835,-0.620614494577069,0.05742801693400386
5231,690866759.739226,7332814.794881218,-0.45424746709042507,0.3483365479274913
10317,532976554.7231308,7199500.293443766,-0.42301727244768295,0.12561291931442525
10545,276885326.58264685,3248027.909833522,-0.5124417560997314,0.06462726855708671
11021,659027117.4479094,8870934.66086087,-0.4167771043799894,0.03692102936995044
5194,96591992.438997,1627972.4572683282,-0.977401552706367,0.010473410371258266
7820,2164653508.8353305,22773491.98371291,-0.294366230624832,0.5447352467903508
7554,1664105236.8415527,17054796.847771198,-0.2747883599113207,0.2222215274597311
7642,692576368.6429694,9312053.465002097,-0.39685483462647875,0.09984720153987048
4720,32465361393.69499,219465259.84894776,-0.03731617612486093,2.062025036500646
8464,637647943.051182,8543551.00551492,-0.38302704966321605,0.03299396998356791
10029,230123867.3369439,2884964.769542962,-0.5271882916356825,0.019314413200254687
8845,647118023.900176,8198541.4684725925,-0.5018235169139976,0.04175666251573094
10565,192810051.89122465,1850592.9414635864,-0.49679098443799774,0.03321124852959573
8484,737570137.235461,9280643.434939595,-0.499425200436853,0.17813196535712056
5581,507576086.53213346,4558582.555604171,-0.44115314938150085,0.08380124364857301
5253,2022638224.2828825,13535371.868999211,-0.31297206402237854,0.5497664797427116
1307,322167230.85703707,3758573.0876401076,-0.6505840373440271,0.06563961057261262
9032,342609232.455848,3360251.5351453526,-0.5445007998626281,0.09923429145327076
13311,257236362.25903755,2227432.8766335915,-0.5091865800420898,2.572363622590372e-05
5501,557948222.2091824,7341871.582135454,-0.6295185328516639,0.1213132442594267
4670,5529678970.893216,44206094.65238759,-0.13775342140983568,0.6217942958627667
13386,61409620.3881198,725489.5943153664,-0.8976648170793169,6.140962038811983e-06
12646,72093673.12191293,861099.7223794666,-1.0025688649695388,7.209367312191297e-06
12740,83473153.27018271,991464.4988901,-0.9072231520519662,8.347315327018279e-06
1835,976220466.2743363,9042122.047528183,-0.37142539322598117,0.10459763765862871
7832,1237784958.799539,13823893.747936321,-0.342348194766993,0.23745699048421354
4728,356188067.43397605,3002637.7454106775,-0.5632300523864087,3.561880674339765e-05
5649,79799841.17125623,899538.9702349355,-0.75679257401629,7.979984117125618e-06
14422,66094803.478464864,624106.4881429034,-0.942253192100785,6.609480347846484e-06
6933,3809842982.8324127,34211479.25018892,-0.1565138410913798,0.6072916536564075
