,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
985,960159833.6824538,1174849519.6949475,2038325114.9358063,4625857267.239122,5200986284.817123,5596616389.556817,5786877026.687994,5929413914.776934,5739225882.786287,5497305260.462614,3895387897.224328,1938302290.7458627,1031195848.6421196,274456945.47848773,147301414.52777997,2225868884.1248965,4011803647.888549,3056677794.3994737,1632116727.0650446,656289889.9910501,0.0
988,518585422.9135166,1340363711.438413,8022259601.035952,27942744613.76608,44262325007.75581,55754953660.3618,64830248424.43703,71964013013.07079,76309627634.75607,84630072563.8266,63937023375.05911,33345995145.429974,17966326813.781567,7000458641.676203,4322609612.248843,130662324830.69022,240565674038.1132,181912706974.19678,96600822851.5122,38650269681.80875,0.0
42,142504246873.85617,168933869829.9349,398545431517.76624,1136454274004.0625,1659038823603.9119,2061458515873.178,2436667011920.987,2750249701195.8643,2928580281876.1284,3299240161035.0244,2583718651974.2344,1728419858504.3503,961855986114.122,6180070350297.185,6827224890725.989,139032520935860.84,151597287006278.25,85908962548720.92,39778403846771.66,14510612339022.021,0.0
64,54231799760.97998,68725941294.64595,229425428257.94174,688243515683.0916,1033617047829.8848,1332219634271.0117,1598165253916.5012,1816878270657.3735,2006571652213.2087,2309852298942.917,1888953769558.7683,1938940077150.3767,1130433935526.403,16302302109110.87,18686447675316.156,310041271565898.7,261916931721363.38,125348197048773.33,53493192787923.94,18468469865593.67,0.0
1362,8419236540.240653,8600920665.159267,12304714266.458279,24266896295.31408,30128004765.62866,35293802730.47735,39399135053.86681,42346042991.506454,42888746660.16857,46194072256.16553,35016331856.310135,22026793942.409126,11970965112.327911,69548305883.0723,71300929668.93886,1199040381442.482,1010401003434.0432,492615362117.73315,213598386087.46402,74764669142.89784,0.0
1352,1228167.3913735996,21044118.474863693,168783093.6036598,543610801.685559,850778504.183952,1034130728.6427786,1136272144.9950578,1217129847.6119153,1267509710.7908452,1309190006.8352644,935731086.0314432,465900259.74203676,248542061.28071138,41642545.20319119,14137805.197507488,28675955.33490519,53349955.321244605,41199449.48346343,22154179.062707677,8949452.960591976,0.0
913,12829138617.82493,12881246708.516867,18128421663.00208,33211634783.349823,34549173734.520905,35758050497.55921,36898431318.186905,37019180320.962746,35097431686.77883,33756084360.338436,24474715028.70642,16046184904.21513,8664280721.659822,66463233720.74434,74005224887.45116,908897044285.2771,658820387694.1533,292008901598.9628,121198439591.6636,41241149488.96979,0.0
235,33722077691.05675,35592144305.12236,50299214040.968636,101085297462.29678,112976382752.92334,122138387721.87129,127303332665.57239,131267704344.09094,128628294212.67542,126333116823.77985,91366831158.10367,50600941635.36351,26917472134.492874,78707548862.6767,75440615800.00746,1523228348189.592,1494441297886.8953,788612927506.4106,353651718147.4714,126545940169.03954,0.0
1796,12252689.422802856,80561962.99234813,516763052.5787735,1663639920.8160474,2529475615.196536,3068542540.8516026,3386613268.317407,3642314458.865238,3789984535.2605143,3944466179.20699,2853676632.4963684,1437537860.3598635,765556721.5478117,129578091.97600952,43750916.28255294,57320130.563426286,104253849.92683,80171537.27947721,43055251.681637995,17386753.99724193,0.0
272,38177313018.37326,44832732094.280266,85319731932.8875,208564564415.27383,271644752702.08905,318534354613.97534,356814768021.474,386146764722.80444,396319251798.3029,426319945040.5872,322930841792.521,192381879194.59216,103540753351.89558,411683968469.54285,388325320009.2343,9384581402408.139,11100075490410.42,6545660105501.857,3085846123570.362,1139935058317.0232,0.0
1777,3039085.918426287,88321792.06936231,941228877.988572,3248861665.0772285,5420549432.431904,6800897751.438736,7680935111.179177,8361840172.459335,8849789533.175758,9477597949.390865,6866384497.992155,3432426149.6636157,1845307263.1096427,307749429.80704635,101546743.56423377,5066627.342425673,1967468.7732030782,798534.6420622517,405720.21264280705,191682.2470409307,0.0
281,90551377465.92392,87226607789.06061,131613378917.6567,258201843799.01202,313689080165.67395,361279652637.0625,400893575609.9771,433179082614.46497,443601515208.476,474654059951.43756,366876341799.26904,359432568210.464,201468238607.2022,3016515213869.6455,3442609026244.6763,34799554650012.176,27902294453417.45,13057821091824.22,5519141096768.844,1894179171428.1516,0.0
488,202731738.2768913,316744966.77913994,830390200.3261285,2204452302.4182334,2843119517.150053,3230407555.729246,3427642999.3968873,3587868942.1341057,3597794461.446131,3560657028.5719676,2540589258.984987,1269800221.2837582,673555657.9184179,125985930.72347522,49648735.17351274,363787457.16406244,669490784.688625,514792285.7864072,276123011.357536,111362452.26824516,0.0
1334,73493304.52675371,129095688.33871345,405497088.9792348,1139324758.5289557,1565500604.701968,1822751145.628278,1955896970.5042965,2065033895.9677658,2100293052.6471908,2104804064.2193072,1497610943.4995513,747173131.0427655,397199884.44527847,70265626.96903093,25878649.41977787,127070372.01622346,234258648.17046303,180264093.30997518,96733403.39140701,39025228.69429008,0.0
36,380345843.36584777,7114050564.14118,115086443226.8808,517544954289.821,961514564427.9822,1317115922779.8965,1653884089018.6602,1955942247881.2588,2122513850813.1873,2515540506523.8027,1964051063529.6648,1012801006552.371,572806240751.8649,103181186882.74986,34993706521.40061,1970267059.447959,977488262.1203927,492347940.75687313,255897917.44469523,113354415.9079204,0.0
389,28275386201.28497,32479473672.211113,66022527120.056656,152875173573.33136,193843209405.84225,227595998104.01514,256576169866.91687,276899694939.1231,286203032162.1486,309130458574.47894,239288966974.49188,187953744351.9343,104603251438.30844,1036581385771.3213,1053781634221.9541,22891695135064.977,18114108963325.4,8077329700517.602,3312235004651.0674,1111655190286.346,0.0
