,"(0.0, 0.4780381330602191)","(0.4780381330602191, 0.9560762661204382)","(0.9560762661204382, 1.4341143991806573)","(1.4341143991806573, 1.9121525322408763)","(1.9121525322408763, 2.3901906653010956)","(2.3901906653010956, 2.8682287983613146)","(2.8682287983613146, 3.3462669314215336)","(3.3462669314215336, 3.8243050644817527)","(3.8243050644817527, 4.302343197541972)","(4.302343197541972, 4.780381330602191)","(4.780381330602191, 5.25841946366241)","(5.25841946366241, 5.736457596722629)","(5.736457596722629, 6.214495729782848)","(6.214495729782848, 6.692533862843067)","(6.692533862843067, 7.170571995903286)","(7.170571995903286, 7.648610128963505)","(7.648610128963505, 8.126648262023725)","(8.126648262023725, 8.604686395083943)","(8.604686395083943, 9.082724528144162)","(9.082724528144162, 9.560762661204382)","(9.560762661204382, 10.038800794264601)","(10.038800794264601, 10.51683892732482)","(10.51683892732482, 10.994877060385038)","(10.994877060385038, 11.472915193445258)","(11.472915193445258, 11.950953326505477)","(11.950953326505477, 12.428991459565696)","(12.428991459565696, 12.907029592625916)","(12.907029592625916, 13.385067725686135)","(13.385067725686135, 13.863105858746353)"
881,0.22674060290533618,0.22583354416352372,0.20232280757882143,0.2229997841492317,0.15906411660651826,0.14618981670931797,0.16753683533839558,0.28055973470476353,0.2103301256681567,0.1379991910989357,0.1664561139438727,0.1445383980889835,0.18450483452716304,0.11829506979469592,0.03953668322960927,0.019513639688514963,0.00935948465394438,0.010091502370389091,1e-06,0.009592084294223807,1e-06,0.0047670487736910985,0.004927062622410812,1e-06,1e-06,0.019244723596782167,0.010054366962230844,1e-06,1e-06
243,0.5351519273502492,0.638363974098817,0.5820614782614457,0.6340572521225567,0.5073772182232993,0.3129679808252607,0.3437502353101747,0.41441755890987175,0.7637454558189073,3.3921945500297572,3.7922440084928732,2.693879367553328,3.857879083493201,3.7859173524362553,2.8978056805423487,2.6286968482157036,3.635525582138221,5.252002560763142,5.06699978877194,2.3714616768218453,1.881677991578684,1.0960157192120012,0.6992199118019805,0.479538365613809,0.31762810547659526,0.4473825634132374,0.5363929478242561,0.3259288243929601,1e-06
1175,0.027592609611705114,0.021226941510755458,0.036881383410360194,0.02558226459647758,0.031194350350632016,0.035695526658412455,0.01484087176326693,0.02505791010785535,0.020395881636553623,0.05058967512011053,0.024753940557473538,0.014407305234183198,0.01502016100935777,0.01482630130197149,1e-06,0.00989050570379189,1e-06,0.009711417753543256,0.009548883996189904,0.009786147640265168,0.009792841485286669,1e-06,0.005116085042145365,0.004937812846134057,0.01948728404890375,0.04336029642066631,1e-06,1e-06,1e-06
900,1e-06,0.0265959236587682,0.02091308055932858,0.015245931689075252,0.010561605675566327,1e-06,0.005123755180436344,0.005197700572032896,0.004776863200328779,0.00982637397757403,0.009748597946864024,0.019695885726589934,0.014588466338219018,0.009791672879959475,0.004864379128851971,0.010127292828648663,0.005007000321765241,0.005018194987837894,0.01506535203302882,0.005102206564590279,1e-06,1e-06,0.005094775324413866,0.019752206298145992,0.0047437183189016656,0.0047737363932880035,1e-06,1e-06,1e-06
1227,0.04999290078686229,0.08099423489717102,0.07942970615806733,0.06743715227523076,0.07265169063803484,0.025764833320950153,0.035375481886801764,0.050118434986793914,0.08613220313159313,0.014804655596156261,1e-06,0.00986678533337062,1e-06,1e-06,0.005049099943205542,1e-06,0.004984830140810296,0.0047228838180972885,0.04902837338260911,0.09271871057735293,0.04947076644438885,0.03394122502659149,0.04798672740347468,1e-06,0.009767794854605362,0.004998603521403108,0.0051032537719096225,1e-06,1e-06
914,0.10775560259863864,0.13205167978061352,0.11292538420362272,0.17566481798608044,0.03674664139995317,0.05764905689166114,0.08318819070998157,0.07754873623808363,0.07680818185089236,0.046146508043399107,0.11140938797133705,0.09996435974182559,0.0795291357592559,0.06563610834764307,0.030190318630311515,0.019734308681226147,0.03491917626919718,0.024540010276241135,0.04027093843660381,0.00941439092228271,0.01910813339410732,0.0342307319083385,0.014936529775730463,0.02421580672749457,0.09187636396218812,0.03399798725901029,0.029976539241089478,0.004890486140025021,1e-06
441,0.23057274093037136,0.9398426287381626,0.851399214279956,0.6746219223447959,0.6931771124786971,0.5452299934645026,1.2156731878758424,1.6569129922944275,1.26259603192671,1.0939363850278703,1.1743795712388936,1.5134141454345926,1.3672956073705453,1.3612146744122882,1.072406349285319,1.5772719424819175,1.506222961860069,0.601090496398463,0.374495552938706,0.661524236678017,0.6611337282999618,0.8941592794742146,0.3602555069668765,0.27745472164119817,0.15693557138088918,0.1589150941081021,0.20058395934384973,0.11865956740038026,1e-06
1797,0.011720884326474047,0.016338276677982804,0.010414255029955903,0.015906014591471417,0.010336745718071569,0.010358161469185112,0.010230903765886772,0.005200215030833876,0.010081683313494894,0.02028799937448889,0.0399752511989867,0.039906256581458306,0.015088736008187317,0.024703749559684567,0.014782516882363646,1e-06,0.004868122076342727,0.004963512925785041,1e-06,1e-06,0.004974883986790551,0.004750232800752207,1e-06,0.005105775113350338,0.009637165474737832,0.005019325067967863,1e-06,1e-06,1e-06
990,0.0054554057689044705,1e-06,0.01623576802476407,0.010691331720615364,1e-06,0.004928636795488748,1e-06,0.015468792256368939,0.005073639774705052,1e-06,1e-06,0.0048818018082858235,1e-06,0.00513170729717351,1e-06,0.014871608429268292,0.014326512105901943,0.004832437165451776,0.010152239925812899,0.004784706492509389,0.033730112839177845,0.019552008893764655,1e-06,0.004947836527367769,0.004796602292170052,1e-06,1e-06,1e-06,1e-06
1009,0.03580201824081003,0.027603679728466408,0.04944409389178053,0.04316597985340313,0.053813512163521704,0.03695237069069329,0.12128551010900987,0.1679819713196232,0.14601914260024132,0.09333080508945153,0.10312024824708776,0.050628242568869185,0.20970002704897847,0.1277101566297258,0.1506881416006787,0.13554450603299653,0.12331237893926117,0.04041320450051869,0.06438929852587445,0.030056984266864963,0.05461250170122258,0.03455591762144815,0.05941083196131205,0.09831894858350407,0.06351103307625093,0.0929065649832419,0.15112158024545727,0.1434882657342696,1e-06
547,0.10731491767368315,0.13732906998818625,0.25090064686718333,0.1964258527326793,0.3565022393244683,0.3915537457694713,0.2840457060416626,0.5018327869456326,0.839514982481173,0.44729838056327403,0.8271251940857262,0.9719962507142127,1.131065800617636,1.1735146201238233,1.1270766104018237,1.102521921701575,1.0063665554404522,0.6748129420775508,0.5268032315703981,0.4422462673882974,0.3757618486964195,0.20879773621007175,0.22170171864046892,0.1676348691216791,0.15575983462666207,0.2698942464187031,0.0649784584984431,0.01973007471517699,1e-06
423,0.17502911956096098,0.1885943432262514,0.24339637843666706,0.18838818532386356,0.23354966937844465,0.24968675395525136,0.21390372601940386,0.16307138254492104,0.13673324844990056,0.07083194728885533,0.11105026134100703,0.09094285278173649,0.13000504764944906,0.16294887635074537,0.03933947384856402,0.09922453497265295,0.059595889923625855,0.1382746909429152,0.0934395427847081,0.009588935753596727,0.019727099875789345,1e-06,0.04863968574805708,0.034252708390703906,0.024587864078960492,0.024539551242653668,0.014844643392771703,0.014826340712800342,1e-06
498,0.6515314117275068,0.9731672652204802,0.7594814680126983,0.8508290281863989,0.7303160798975712,0.6483806667996559,0.7287132101612751,0.6665191499073151,0.834402753793545,0.7161974353477956,0.5234895041920181,0.33110271462969737,0.3650672774364831,0.36087409361432543,0.25681416259773127,0.2316867525893651,0.14919994896505984,0.16968057927694272,0.23354529377203606,0.2720991951448664,0.3124715451351016,0.1125698592145228,0.024643138669759892,0.05939695584143397,0.058896599532431176,0.10799384231944975,0.11531512148020716,0.09929632430038718,1e-06
1686,0.021663288763159875,0.010488686306720547,0.010385776087205192,1e-06,0.0051756093275906875,0.005200333121272299,0.010323604678427481,0.0049398149548213555,1e-06,0.005246317802379981,0.010035633782042837,1e-06,1e-06,0.004800239332391002,0.009914261134758925,0.004736264904329384,1e-06,1e-06,1e-06,1e-06,0.004895629191559348,0.005095302599255681,0.00472448456301161,1e-06,0.024606533873314542,0.029579973412028563,0.05493693545042156,1e-06,1e-06
